Genome ,Coverage,Genes
94A,0.9085521,TPANIC_RS04240
94A,0.898248,TPANIC_RS04245
94A,1,TPANIC_RS04270
94A,0.8072369,TPANIC_RS04420
94A,0.9794027,TPANIC_RS04710
94A,0.9455253,TPANIC_RS04715
94A,0.9847208,TPANIC_RS04720
94A,0.876377,TPANIC_RS04760
94A,0.8570509,TPANIC_RS04765
94A,0.8829499,TPANIC_RS04770
94A,0.954892,TPANIC_RS04775
94A,1,TPANIC_RS04780
94A,0.9454545,TPANIC_RS04995
94A,0.9990783,TPANIC_RS05015
94A,0.7834883,TPANIC_RS05095
94A,0.832258,TPANIC_RS05095-377bp-del
94A,0.9906191,TPANIC_RS05130
94B,1,TPANIC_RS05525
94B,1,TPANIC_RS05530
94B,1,TPANIC_RS05535
94B,1,TPANIC_RS00045
94B,1,TPANIC_RS00200
94B,1,TPANIC_RS00450
94B,1,TPANIC_RS00560
94B,0.9532294,TPANIC_RS00590
94B,1,TPANIC_RS00635
94B,0.9448775,TPANIC_RS00665
94B,1,TPANIC_RS00675
94B,0.8132743,TPANIC_RS00680
94B,0.8453262,TPANIC_RS00695
94B,1,TPANIC_RS00795
94B,1,TPANIC_RS00830
94B,1,TPANIC_RS00870
94B,1,TPANIC_RS01295
94B,1,TPANIC_RS01455
94B,1,TPANIC_RS01480
94B,1,TPANIC_RS01545
94B,1,TPANIC_RS01555 
94B,0.8048458,TPANIC_RS01560
94B,0.9916434,TPANIC_RS01590
94B,1,TPANIC_RS01595
94B,1,TPANIC_RS02115
94B,0.9851064,TPANIC_RS02120
94B,1,TPANIC_RS02210
94B,0.866562,TPANIC_RS02260
94B,1,TPANIC_RS02345
94B,0.9566417,TPANIC_RS02370
94B,1,TPANIC_RS02405
94B,0.9842017,TPANIC_RS02520
94B,0.8243865,TPANIC_RS02695
94B,1,TPANIC_RS02820
94B,1,TPANIC_RS02830
94B,0.9971167,TPANIC_RS03015
94B,0.9835329,TPANIC_RS03060
94B,0.9639147,TPANIC_RS03065
94B,1,TPANIC_RS03070
94B,1,TPANIC_RS03170
94B,1,TPANIC_RS03175
94B,1,TPANIC_RS03245
94B,1,TPANIC_RS03475
94B,0.9711685,TPANIC_RS03635
94B,1,TPANIC_RS03715
94B,1,TPANIC_RS03720
94B,1,TPANIC_RS03800
94B,1,TPANIC_RS03805
94B,1,TPANIC_RS03940
94B,0.9859611,TPANIC_RS04050
94B,0.0692568,TPANIC_RS04235
94B,0.9068586,TPANIC_RS04240
94B,0.9710243,TPANIC_RS04245
94B,0.9958304,TPANIC_RS04270
94B,0.8763158,TPANIC_RS04420
94B,1,TPANIC_RS04710
94B,1,TPANIC_RS04715
94B,0.9899895,TPANIC_RS04720
94B,1,TPANIC_RS04760
94B,0.98519,TPANIC_RS04765
94B,0.9627876,TPANIC_RS04770
94B,1,TPANIC_RS04775
94B,1,TPANIC_RS04780
94B,1,TPANIC_RS04995
94B,1,TPANIC_RS05015
94B,0.8835429,TPANIC_RS05095
94B,1,TPANIC_RS05095-377bp-del
94B,1,TPANIC_RS05130
133,0.8858696,TPANIC_RS05525
133,0.4219653,TPANIC_RS05530
133,0.8408304,TPANIC_RS05535
133,0.9606458,TPANIC_RS00045
133,0.9656301,TPANIC_RS00200
133,0.9856557,TPANIC_RS00450
133,0.9704698,TPANIC_RS00560
133,0.9125835,TPANIC_RS00590
133,1,TPANIC_RS00635
133,0.9136971,TPANIC_RS00665
133,0.8043831,TPANIC_RS00675
133,0.9548672,TPANIC_RS00680
133,0.5608608,TPANIC_RS00695
133,0.9587444,TPANIC_RS00795
133,0.9654428,TPANIC_RS00830
133,1,TPANIC_RS00870
133,0.9299065,TPANIC_RS01295
133,0.9752594,TPANIC_RS01455
133,0.9825412,TPANIC_RS01480
133,0.9667832,TPANIC_RS01545
133,0.9664991,TPANIC_RS01555 
133,0.9977974,TPANIC_RS01560
133,0.9689614,TPANIC_RS01590
133,0.8262548,TPANIC_RS01595
133,0.9200662,TPANIC_RS02115
133,1,TPANIC_RS02120
133,0.9803013,TPANIC_RS02210
133,0.5981162,TPANIC_RS02260
133,0.9587118,TPANIC_RS02345
133,0.9148601,TPANIC_RS02370
133,0.9095368,TPANIC_RS02405
133,0.9435294,TPANIC_RS02520
133,0.881135,TPANIC_RS02695
133,0.9759399,TPANIC_RS02820
133,0.9892638,TPANIC_RS02830
133,0.9899087,TPANIC_RS03015
133,0.748503,TPANIC_RS03060
133,0.9704757,TPANIC_RS03065
133,0.7886643,TPANIC_RS03070
133,0.9472595,TPANIC_RS03170
133,0.887744,TPANIC_RS03175
133,0.9321223,TPANIC_RS03245
133,0.8341837,TPANIC_RS03475
133,0.7875569,TPANIC_RS03635
133,0.7660209,TPANIC_RS03715
133,0.8709677,TPANIC_RS03720
133,0.9016393,TPANIC_RS03800
133,0.986694,TPANIC_RS03805
133,0.8805147,TPANIC_RS03940
133,0.8671706,TPANIC_RS04050
133,0.8074324,TPANIC_RS04235
133,0.7027943,TPANIC_RS04240
133,0.8989218,TPANIC_RS04245
133,0.8533704,TPANIC_RS04270
133,0.8151316,TPANIC_RS04420
133,0.9227601,TPANIC_RS04710
133,0.7996109,TPANIC_RS04715
133,0.9293994,TPANIC_RS04720
133,0.875153,TPANIC_RS04760
133,0.9201545,TPANIC_RS04765
133,0.808525,TPANIC_RS04770
133,0.9377382,TPANIC_RS04775
133,1,TPANIC_RS04780
133,0.9764706,TPANIC_RS04995
133,0.9373272,TPANIC_RS05015
133,0.777474,TPANIC_RS05095
133,0,TPANIC_RS05095-377bp-del
133,0.8536586,TPANIC_RS05130
A10,1,TPANIC_RS05525
A10,1,TPANIC_RS05530
A10,1,TPANIC_RS05535
A10,1,TPANIC_RS00045
A10,1,TPANIC_RS00200
A10,1,TPANIC_RS00450
A10,1,TPANIC_RS00560
A10,0.9693764,TPANIC_RS00590
A10,1,TPANIC_RS00635
A10,0.8157015,TPANIC_RS00665
A10,0.9472402,TPANIC_RS00675
A10,1,TPANIC_RS00680
A10,0.5258911,TPANIC_RS00695
A10,1,TPANIC_RS00795
A10,1,TPANIC_RS00830
A10,1,TPANIC_RS00870
A10,1,TPANIC_RS01295
A10,1,TPANIC_RS01455
A10,1,TPANIC_RS01480
A10,1,TPANIC_RS01545
A10,0.9212731,TPANIC_RS01555 
A10,1,TPANIC_RS01560
A10,1,TPANIC_RS01590
A10,1,TPANIC_RS01595
A10,1,TPANIC_RS02115
A10,1,TPANIC_RS02120
A10,1,TPANIC_RS02210
A10,0.3021978,TPANIC_RS02260
A10,0.9364162,TPANIC_RS02345
A10,0.9586126,TPANIC_RS02370
A10,1,TPANIC_RS02405
A10,1,TPANIC_RS02520
A10,0.9516871,TPANIC_RS02695
A10,1,TPANIC_RS02820
A10,1,TPANIC_RS02830
A10,1,TPANIC_RS03015
A10,0.7050898,TPANIC_RS03060
A10,0.9425916,TPANIC_RS03065
A10,0.7649385,TPANIC_RS03070
A10,1,TPANIC_RS03170
A10,1,TPANIC_RS03175
A10,1,TPANIC_RS03245
A10,1,TPANIC_RS03475
A10,1,TPANIC_RS03635
A10,1,TPANIC_RS03715
A10,1,TPANIC_RS03720
A10,1,TPANIC_RS03800
A10,1,TPANIC_RS03805
A10,1,TPANIC_RS03940
A10,1,TPANIC_RS04050
A10,1,TPANIC_RS04235
A10,0.8983912,TPANIC_RS04240
A10,0.9979784,TPANIC_RS04245
A10,0.9895761,TPANIC_RS04270
A10,0.6618421,TPANIC_RS04420
A10,1,TPANIC_RS04710
A10,1,TPANIC_RS04715
A10,1,TPANIC_RS04720
A10,1,TPANIC_RS04760
A10,1,TPANIC_RS04765
A10,1,TPANIC_RS04770
A10,1,TPANIC_RS04775
A10,1,TPANIC_RS04780
A10,1,TPANIC_RS04995
A10,1,TPANIC_RS05015
A10,0.8305085,TPANIC_RS05095
A10,0,TPANIC_RS05095-377bp-del
A10,1,TPANIC_RS05130
AGU007,1,TPANIC_RS05525
AGU007,1,TPANIC_RS05530
AGU007,1,TPANIC_RS05535
AGU007,1,TPANIC_RS00045
AGU007,1,TPANIC_RS00200
AGU007,1,TPANIC_RS00450
AGU007,1,TPANIC_RS00560
AGU007,0.9643652,TPANIC_RS00590
AGU007,1,TPANIC_RS00635
AGU007,0.9626949,TPANIC_RS00665
AGU007,0.9691558,TPANIC_RS00675
AGU007,1,TPANIC_RS00680
AGU007,0.8897108,TPANIC_RS00695
AGU007,1,TPANIC_RS00795
AGU007,1,TPANIC_RS00830
AGU007,1,TPANIC_RS00870
AGU007,1,TPANIC_RS01295
AGU007,1,TPANIC_RS01455
AGU007,1,TPANIC_RS01480
AGU007,1,TPANIC_RS01545
AGU007,0.9840871,TPANIC_RS01555 
AGU007,1,TPANIC_RS01560
AGU007,0.9960207,TPANIC_RS01590
AGU007,1,TPANIC_RS01595
AGU007,0.9845645,TPANIC_RS02115
AGU007,1,TPANIC_RS02120
AGU007,1,TPANIC_RS02210
AGU007,0.94427,TPANIC_RS02260
AGU007,0.9867878,TPANIC_RS02345
AGU007,0.9897517,TPANIC_RS02370
AGU007,1,TPANIC_RS02405
AGU007,1,TPANIC_RS02520
AGU007,0.9846626,TPANIC_RS02695
AGU007,1,TPANIC_RS02820
AGU007,1,TPANIC_RS02830
AGU007,1,TPANIC_RS03015
AGU007,0.7664671,TPANIC_RS03060
AGU007,0.9896118,TPANIC_RS03065
AGU007,0.7877856,TPANIC_RS03070
AGU007,1,TPANIC_RS03170
AGU007,1,TPANIC_RS03175
AGU007,1,TPANIC_RS03245
AGU007,1,TPANIC_RS03475
AGU007,0.9802731,TPANIC_RS03635
AGU007,1,TPANIC_RS03715
AGU007,1,TPANIC_RS03720
AGU007,1,TPANIC_RS03800
AGU007,1,TPANIC_RS03805
AGU007,1,TPANIC_RS03940
AGU007,1,TPANIC_RS04050
AGU007,1,TPANIC_RS04235
AGU007,0.9703641,TPANIC_RS04240
AGU007,0.995283,TPANIC_RS04245
AGU007,0.9916609,TPANIC_RS04270
AGU007,0.9131579,TPANIC_RS04420
AGU007,1,TPANIC_RS04710
AGU007,1,TPANIC_RS04715
AGU007,1,TPANIC_RS04720
AGU007,1,TPANIC_RS04760
AGU007,1,TPANIC_RS04765
AGU007,1,TPANIC_RS04770
AGU007,1,TPANIC_RS04775
AGU007,1,TPANIC_RS04780
AGU007,1,TPANIC_RS04995
AGU007,1,TPANIC_RS05015
AGU007,0.8425369,TPANIC_RS05095
AGU007,0,TPANIC_RS05095-377bp-del
AGU007,1,TPANIC_RS05130
BAL73,1,TPANIC_RS05525
BAL73,1,TPANIC_RS05530
BAL73,1,TPANIC_RS05535
BAL73,1,TPANIC_RS00045
BAL73,1,TPANIC_RS00200
BAL73,1,TPANIC_RS00450
BAL73,1,TPANIC_RS00560
BAL73,1,TPANIC_RS00590
BAL73,1,TPANIC_RS00635
BAL73,1,TPANIC_RS00665
BAL73,1,TPANIC_RS00675
BAL73,1,TPANIC_RS00680
BAL73,1,TPANIC_RS00695
BAL73,1,TPANIC_RS00795
BAL73,1,TPANIC_RS00830
BAL73,1,TPANIC_RS00870
BAL73,1,TPANIC_RS01295
BAL73,1,TPANIC_RS01455
BAL73,1,TPANIC_RS01480
BAL73,1,TPANIC_RS01545
BAL73,1,TPANIC_RS01555 
BAL73,1,TPANIC_RS01560
BAL73,1,TPANIC_RS01590
BAL73,1,TPANIC_RS01595
BAL73,1,TPANIC_RS02115
BAL73,1,TPANIC_RS02120
BAL73,1,TPANIC_RS02210
BAL73,1,TPANIC_RS02260
BAL73,1,TPANIC_RS02345
BAL73,1,TPANIC_RS02370
BAL73,1,TPANIC_RS02405
BAL73,1,TPANIC_RS02520
BAL73,1,TPANIC_RS02695
BAL73,1,TPANIC_RS02820
BAL73,1,TPANIC_RS02830
BAL73,1,TPANIC_RS03015
BAL73,1,TPANIC_RS03060
BAL73,1,TPANIC_RS03065
BAL73,1,TPANIC_RS03070
BAL73,1,TPANIC_RS03170
BAL73,1,TPANIC_RS03175
BAL73,1,TPANIC_RS03245
BAL73,1,TPANIC_RS03475
BAL73,1,TPANIC_RS03635
BAL73,1,TPANIC_RS03715
BAL73,1,TPANIC_RS03720
BAL73,1,TPANIC_RS03800
BAL73,1,TPANIC_RS03805
BAL73,1,TPANIC_RS03940
BAL73,1,TPANIC_RS04050
BAL73,1,TPANIC_RS04235
BAL73,1,TPANIC_RS04240
BAL73,0.9804582,TPANIC_RS04245
BAL73,1,TPANIC_RS04270
BAL73,0.9414474,TPANIC_RS04420
BAL73,1,TPANIC_RS04710
BAL73,1,TPANIC_RS04715
BAL73,1,TPANIC_RS04720
BAL73,0.9767442,TPANIC_RS04760
BAL73,0.9954926,TPANIC_RS04765
BAL73,1,TPANIC_RS04770
BAL73,1,TPANIC_RS04775
BAL73,1,TPANIC_RS04780
BAL73,1,TPANIC_RS04995
BAL73,1,TPANIC_RS05015
BAL73,1,TPANIC_RS05095
BAL73,1,TPANIC_RS05095-377bp-del
BAL73,1,TPANIC_RS05130
Bosnia-A,1,TPANIC_RS05525
Bosnia-A,1,TPANIC_RS05530
Bosnia-A,1,TPANIC_RS05535
Bosnia-A,1,TPANIC_RS00045
Bosnia-A,1,TPANIC_RS00200
Bosnia-A,1,TPANIC_RS00450
Bosnia-A,1,TPANIC_RS00560
Bosnia-A,0.9376392,TPANIC_RS00590
Bosnia-A,1,TPANIC_RS00635
Bosnia-A,0.9649221,TPANIC_RS00665
Bosnia-A,0.9602273,TPANIC_RS00675
Bosnia-A,1,TPANIC_RS00680
Bosnia-A,0.794889,TPANIC_RS00695
Bosnia-A,1,TPANIC_RS00795
Bosnia-A,1,TPANIC_RS00830
Bosnia-A,1,TPANIC_RS00870
Bosnia-A,1,TPANIC_RS01295
Bosnia-A,1,TPANIC_RS01455
Bosnia-A,1,TPANIC_RS01480
Bosnia-A,1,TPANIC_RS01545
Bosnia-A,0.9045226,TPANIC_RS01555 
Bosnia-A,1,TPANIC_RS01560
Bosnia-A,0.9844807,TPANIC_RS01590
Bosnia-A,1,TPANIC_RS01595
Bosnia-A,0.8908489,TPANIC_RS02115
Bosnia-A,1,TPANIC_RS02120
Bosnia-A,1,TPANIC_RS02210
Bosnia-A,0.9081632,TPANIC_RS02260
Bosnia-A,0.9421965,TPANIC_RS02345
Bosnia-A,0.9755617,TPANIC_RS02370
Bosnia-A,1,TPANIC_RS02405
Bosnia-A,1,TPANIC_RS02520
Bosnia-A,0.9386503,TPANIC_RS02695
Bosnia-A,1,TPANIC_RS02820
Bosnia-A,1,TPANIC_RS02830
Bosnia-A,1,TPANIC_RS03015
Bosnia-A,0.7320359,TPANIC_RS03060
Bosnia-A,0.9617277,TPANIC_RS03065
Bosnia-A,0.736819,TPANIC_RS03070
Bosnia-A,1,TPANIC_RS03170
Bosnia-A,1,TPANIC_RS03175
Bosnia-A,1,TPANIC_RS03245
Bosnia-A,1,TPANIC_RS03475
Bosnia-A,0.9484067,TPANIC_RS03635
Bosnia-A,1,TPANIC_RS03715
Bosnia-A,1,TPANIC_RS03720
Bosnia-A,1,TPANIC_RS03800
Bosnia-A,1,TPANIC_RS03805
Bosnia-A,1,TPANIC_RS03940
Bosnia-A,1,TPANIC_RS04050
Bosnia-A,0.9822635,TPANIC_RS04235
Bosnia-A,0.9161727,TPANIC_RS04240
Bosnia-A,0.9912399,TPANIC_RS04245
Bosnia-A,0.9207783,TPANIC_RS04270
Bosnia-A,0.7388158,TPANIC_RS04420
Bosnia-A,1,TPANIC_RS04710
Bosnia-A,1,TPANIC_RS04715
Bosnia-A,1,TPANIC_RS04720
Bosnia-A,1,TPANIC_RS04760
Bosnia-A,1,TPANIC_RS04765
Bosnia-A,1,TPANIC_RS04770
Bosnia-A,1,TPANIC_RS04775
Bosnia-A,1,TPANIC_RS04780
Bosnia-A,1,TPANIC_RS04995
Bosnia-A,1,TPANIC_RS05015
Bosnia-A,1,TPANIC_RS05095
Bosnia-A,1,TPANIC_RS05095-377bp-del
Bosnia-A,1,TPANIC_RS05130
CDC-2575,1,TPANIC_RS05525
CDC-2575,1,TPANIC_RS05530
CDC-2575,1,TPANIC_RS05535
CDC-2575,1,TPANIC_RS00045
CDC-2575,1,TPANIC_RS00200
CDC-2575,1,TPANIC_RS00450
CDC-2575,1,TPANIC_RS00560
CDC-2575,0.9248329,TPANIC_RS00590
CDC-2575,1,TPANIC_RS00635
CDC-2575,0.9292873,TPANIC_RS00665
CDC-2575,0.9577922,TPANIC_RS00675
CDC-2575,1,TPANIC_RS00680
CDC-2575,0.7209146,TPANIC_RS00695
CDC-2575,1,TPANIC_RS00795
CDC-2575,1,TPANIC_RS00830
CDC-2575,1,TPANIC_RS00870
CDC-2575,1,TPANIC_RS01295
CDC-2575,1,TPANIC_RS01455
CDC-2575,1,TPANIC_RS01480
CDC-2575,1,TPANIC_RS01545
CDC-2575,0.9556114,TPANIC_RS01555 
CDC-2575,1,TPANIC_RS01560
CDC-2575,0.9908476,TPANIC_RS01590
CDC-2575,1,TPANIC_RS01595
CDC-2575,0.8809261,TPANIC_RS02115
CDC-2575,1,TPANIC_RS02120
CDC-2575,1,TPANIC_RS02210
CDC-2575,0.8908948,TPANIC_RS02260
CDC-2575,0.9793559,TPANIC_RS02345
CDC-2575,0.9724084,TPANIC_RS02370
CDC-2575,1,TPANIC_RS02405
CDC-2575,1,TPANIC_RS02520
CDC-2575,0.9003068,TPANIC_RS02695
CDC-2575,1,TPANIC_RS02820
CDC-2575,1,TPANIC_RS02830
CDC-2575,1,TPANIC_RS03015
CDC-2575,0.751497,TPANIC_RS03060
CDC-2575,0.965555,TPANIC_RS03065
CDC-2575,0.7776802,TPANIC_RS03070
CDC-2575,1,TPANIC_RS03170
CDC-2575,1,TPANIC_RS03175
CDC-2575,1,TPANIC_RS03245
CDC-2575,1,TPANIC_RS03475
CDC-2575,0.9620637,TPANIC_RS03635
CDC-2575,1,TPANIC_RS03715
CDC-2575,1,TPANIC_RS03720
CDC-2575,1,TPANIC_RS03800
CDC-2575,1,TPANIC_RS03805
CDC-2575,1,TPANIC_RS03940
CDC-2575,1,TPANIC_RS04050
CDC-2575,1,TPANIC_RS04235
CDC-2575,0.9034716,TPANIC_RS04240
CDC-2575,0.9831536,TPANIC_RS04245
CDC-2575,0.9805421,TPANIC_RS04270
CDC-2575,0.6934211,TPANIC_RS04420
CDC-2575,1,TPANIC_RS04710
CDC-2575,1,TPANIC_RS04715
CDC-2575,1,TPANIC_RS04720
CDC-2575,1,TPANIC_RS04760
CDC-2575,0.9967804,TPANIC_RS04765
CDC-2575,1,TPANIC_RS04770
CDC-2575,1,TPANIC_RS04775
CDC-2575,1,TPANIC_RS04780
CDC-2575,1,TPANIC_RS04995
CDC-2575,1,TPANIC_RS05015
CDC-2575,0.8436304,TPANIC_RS05095
CDC-2575,0,TPANIC_RS05095-377bp-del
CDC-2575,1,TPANIC_RS05130
CDC-1,1,TPANIC_RS05525
CDC-1,1,TPANIC_RS05530
CDC-1,1,TPANIC_RS05535
CDC-1,1,TPANIC_RS00045
CDC-1,1,TPANIC_RS00200
CDC-1,1,TPANIC_RS00450
CDC-1,1,TPANIC_RS00560
CDC-1,0.935412,TPANIC_RS00590
CDC-1,1,TPANIC_RS00635
CDC-1,0.9348552,TPANIC_RS00665
CDC-1,0.9123377,TPANIC_RS00675
CDC-1,1,TPANIC_RS00680
CDC-1,0.7478144,TPANIC_RS00695
CDC-1,1,TPANIC_RS00795
CDC-1,1,TPANIC_RS00830
CDC-1,1,TPANIC_RS00870
CDC-1,1,TPANIC_RS01295
CDC-1,1,TPANIC_RS01455
CDC-1,1,TPANIC_RS01480
CDC-1,1,TPANIC_RS01545
CDC-1,0.9606365,TPANIC_RS01555 
CDC-1,1,TPANIC_RS01560
CDC-1,0.9948269,TPANIC_RS01590
CDC-1,1,TPANIC_RS01595
CDC-1,0.8858876,TPANIC_RS02115
CDC-1,1,TPANIC_RS02120
CDC-1,1,TPANIC_RS02210
CDC-1,0.8916798,TPANIC_RS02260
CDC-1,0.9752271,TPANIC_RS02345
CDC-1,0.9850217,TPANIC_RS02370
CDC-1,1,TPANIC_RS02405
CDC-1,1,TPANIC_RS02520
CDC-1,0.9532208,TPANIC_RS02695
CDC-1,1,TPANIC_RS02820
CDC-1,1,TPANIC_RS02830
CDC-1,1,TPANIC_RS03015
CDC-1,0.745509,TPANIC_RS03060
CDC-1,0.9764899,TPANIC_RS03065
CDC-1,0.7794376,TPANIC_RS03070
CDC-1,1,TPANIC_RS03170
CDC-1,1,TPANIC_RS03175
CDC-1,1,TPANIC_RS03245
CDC-1,1,TPANIC_RS03475
CDC-1,0.986343,TPANIC_RS03635
CDC-1,1,TPANIC_RS03715
CDC-1,1,TPANIC_RS03720
CDC-1,1,TPANIC_RS03800
CDC-1,1,TPANIC_RS03805
CDC-1,1,TPANIC_RS03940
CDC-1,1,TPANIC_RS04050
CDC-1,1,TPANIC_RS04235
CDC-1,0.8950042,TPANIC_RS04240
CDC-1,0.9932615,TPANIC_RS04245
CDC-1,0.9701182,TPANIC_RS04270
CDC-1,0.8105263,TPANIC_RS04420
CDC-1,1,TPANIC_RS04710
CDC-1,1,TPANIC_RS04715
CDC-1,1,TPANIC_RS04720
CDC-1,1,TPANIC_RS04760
CDC-1,0.9942048,TPANIC_RS04765
CDC-1,1,TPANIC_RS04770
CDC-1,1,TPANIC_RS04775
CDC-1,1,TPANIC_RS04780
CDC-1,1,TPANIC_RS04995
CDC-1,1,TPANIC_RS05015
CDC-1,0.8223073,TPANIC_RS05095
CDC-1,0,TPANIC_RS05095-377bp-del
CDC-1,1,TPANIC_RS05130
CDC-2,1,TPANIC_RS05525
CDC-2,1,TPANIC_RS05530
CDC-2,1,TPANIC_RS05535
CDC-2,0.9919273,TPANIC_RS00045
CDC-2,1,TPANIC_RS00200
CDC-2,1,TPANIC_RS00450
CDC-2,1,TPANIC_RS00560
CDC-2,0.935412,TPANIC_RS00590
CDC-2,1,TPANIC_RS00635
CDC-2,0.9365256,TPANIC_RS00665
CDC-2,0.9675325,TPANIC_RS00675
CDC-2,0.9946902,TPANIC_RS00680
CDC-2,0.6798924,TPANIC_RS00695
CDC-2,1,TPANIC_RS00795
CDC-2,1,TPANIC_RS00830
CDC-2,1,TPANIC_RS00870
CDC-2,0.9990654,TPANIC_RS01295
CDC-2,1,TPANIC_RS01455
CDC-2,1,TPANIC_RS01480
CDC-2,1,TPANIC_RS01545
CDC-2,0.982412,TPANIC_RS01555 
CDC-2,0.9907489,TPANIC_RS01560
CDC-2,0.9952248,TPANIC_RS01590
CDC-2,1,TPANIC_RS01595
CDC-2,0.8263506,TPANIC_RS02115
CDC-2,1,TPANIC_RS02120
CDC-2,1,TPANIC_RS02210
CDC-2,0.8618524,TPANIC_RS02260
CDC-2,0.9744013,TPANIC_RS02345
CDC-2,0.9605834,TPANIC_RS02370
CDC-2,1,TPANIC_RS02405
CDC-2,1,TPANIC_RS02520
CDC-2,0.9547546,TPANIC_RS02695
CDC-2,1,TPANIC_RS02820
CDC-2,1,TPANIC_RS02830
CDC-2,1,TPANIC_RS03015
CDC-2,0.744012,TPANIC_RS03060
CDC-2,0.9710224,TPANIC_RS03065
CDC-2,0.7789983,TPANIC_RS03070
CDC-2,1,TPANIC_RS03170
CDC-2,1,TPANIC_RS03175
CDC-2,1,TPANIC_RS03245
CDC-2,1,TPANIC_RS03475
CDC-2,0.9195751,TPANIC_RS03635
CDC-2,1,TPANIC_RS03715
CDC-2,1,TPANIC_RS03720
CDC-2,1,TPANIC_RS03800
CDC-2,1,TPANIC_RS03805
CDC-2,0.9935662,TPANIC_RS03940
CDC-2,1,TPANIC_RS04050
CDC-2,1,TPANIC_RS04235
CDC-2,0.9000847,TPANIC_RS04240
CDC-2,0.9932615,TPANIC_RS04245
CDC-2,0.9867964,TPANIC_RS04270
CDC-2,0.8177631,TPANIC_RS04420
CDC-2,1,TPANIC_RS04710
CDC-2,1,TPANIC_RS04715
CDC-2,1,TPANIC_RS04720
CDC-2,1,TPANIC_RS04760
CDC-2,0.9987122,TPANIC_RS04765
CDC-2,1,TPANIC_RS04770
CDC-2,1,TPANIC_RS04775
CDC-2,1,TPANIC_RS04780
CDC-2,1,TPANIC_RS04995
CDC-2,1,TPANIC_RS05015
CDC-2,0.8436304,TPANIC_RS05095
CDC-2,0,TPANIC_RS05095-377bp-del
CDC-2,1,TPANIC_RS05130
Chicago,1,TPANIC_RS05525
Chicago,1,TPANIC_RS05530
Chicago,1,TPANIC_RS05535
Chicago,1,TPANIC_RS00045
Chicago,1,TPANIC_RS00200
Chicago,1,TPANIC_RS00450
Chicago,1,TPANIC_RS00560
Chicago,1,TPANIC_RS00590
Chicago,1,TPANIC_RS00635
Chicago,1,TPANIC_RS00665
Chicago,1,TPANIC_RS00675
Chicago,1,TPANIC_RS00680
Chicago,1,TPANIC_RS00695
Chicago,1,TPANIC_RS00795
Chicago,1,TPANIC_RS00830
Chicago,1,TPANIC_RS00870
Chicago,1,TPANIC_RS01295
Chicago,1,TPANIC_RS01455
Chicago,1,TPANIC_RS01480
Chicago,1,TPANIC_RS01545
Chicago,1,TPANIC_RS01555 
Chicago,1,TPANIC_RS01560
Chicago,1,TPANIC_RS01590
Chicago,1,TPANIC_RS01595
Chicago,1,TPANIC_RS02115
Chicago,1,TPANIC_RS02120
Chicago,1,TPANIC_RS02210
Chicago,1,TPANIC_RS02260
Chicago,1,TPANIC_RS02345
Chicago,1,TPANIC_RS02370
Chicago,1,TPANIC_RS02405
Chicago,1,TPANIC_RS02520
Chicago,1,TPANIC_RS02695
Chicago,1,TPANIC_RS02820
Chicago,1,TPANIC_RS02830
Chicago,1,TPANIC_RS03015
Chicago,1,TPANIC_RS03060
Chicago,1,TPANIC_RS03065
Chicago,1,TPANIC_RS03070
Chicago,1,TPANIC_RS03170
